Label,I-L1_SigStat-MW,I-L1_StatSig-qMW,I-L1_Stat-StdAW,I-L1_Stat-Var,I-L1_Stat-Wb,I-L1_Stat-N6M,I-L1_Sig-QWM,I-L1_Sig-GRW,I-L1_Sig-FF
1,0.032147,0.782115,0.781455,0.610671,1.54335,2.640677,0.626682,0.695399,1.124701
1,0.032166,0.782232,0.781571,0.610853,1.543708,2.642535,0.626925,0.69555,1.124624
1,0.032145,0.782735,0.782075,0.611641,1.54406,2.643426,0.627146,0.695909,1.124767
1,0.032235,0.782877,0.782213,0.611857,1.544016,2.643547,0.627344,0.696068,1.124713
1,0.032091,0.782734,0.782076,0.611643,1.544688,2.646009,0.626957,0.69581,1.124925
1,0.031908,0.782108,0.781457,0.610674,1.544952,2.646794,0.626353,0.695199,1.125013
1,0.032065,0.782067,0.781409,0.6106,1.54545,2.648482,0.626023,0.69503,1.125227
1,0.03191,0.782364,0.781713,0.611076,1.545709,2.649348,0.626272,0.695291,1.125233
1,0.032122,0.782169,0.781509,0.610756,1.544769,2.64664,0.62661,0.695361,1.124838
1,0.031983,0.783089,0.782435,0.612205,1.544505,2.646528,0.627748,0.696354,1.124556
1,0.032115,0.782597,0.781937,0.611426,1.545465,2.649674,0.627033,0.695745,1.124832
1,0.031913,0.783253,0.782603,0.612467,1.54575,2.650705,0.627544,0.696304,1.124872
1,0.031974,0.78344,0.782787,0.612756,1.546382,2.652831,0.627485,0.696356,1.125056
1,0.032058,0.782726,0.782069,0.611632,1.546237,2.651525,0.626659,0.695618,1.125224
1,0.03198,0.783215,0.782562,0.612403,1.54667,2.65295,0.626792,0.69594,1.125406
1,0.032097,0.782558,0.7819,0.611367,1.546221,2.651003,0.626374,0.695405,1.125327
1,0.032003,0.782414,0.78176,0.611148,1.545964,2.65018,0.626322,0.69532,1.125258
1,0.031831,0.782322,0.781674,0.611014,1.544797,2.646362,0.62667,0.69546,1.124898
1,0.032126,0.782445,0.781785,0.611188,1.545268,2.648667,0.626842,0.695578,1.124885
1,0.032247,0.782896,0.782231,0.611886,1.546161,2.65179,0.626934,0.69583,1.125125
1,0.032061,0.782082,0.781424,0.610624,1.546196,2.651079,0.625981,0.694978,1.125333
1,0.032072,0.782142,0.781484,0.610717,1.546223,2.650689,0.625925,0.694981,1.125414
1,0.032057,0.782207,0.78155,0.610821,1.546651,2.652758,0.626032,0.695056,1.125387
1,0.032051,0.782171,0.781514,0.610764,1.546743,2.653606,0.62615,0.695086,1.125286
1,0.032035,0.782224,0.781568,0.610849,1.546593,2.653507,0.626329,0.695193,1.125191
1,0.032037,0.782629,0.781973,0.611482,1.546838,2.655189,0.626812,0.695616,1.125089
1,0.032046,0.78334,0.782685,0.612595,1.547496,2.657735,0.62723,0.696162,1.125228
1,0.032038,0.784825,0.784171,0.614924,1.547217,2.656385,0.628428,0.697507,1.125186
1,0.032065,0.783961,0.783305,0.613566,1.542149,2.635767,0.628399,0.697193,1.124453
1,0.032018,0.782742,0.782087,0.61166,1.540734,2.630588,0.627835,0.696324,1.124106
1,0.031951,0.782466,0.781813,0.611232,1.540857,2.631445,0.627725,0.696126,1.12403
1,0.031718,0.781379,0.780735,0.609547,1.540743,2.630861,0.62679,0.695131,1.124075
1,0.031705,0.780717,0.780073,0.608514,1.540738,2.630884,0.626171,0.694518,1.124114
1,0.031691,0.779539,0.778895,0.606677,1.539315,2.625325,0.625533,0.693651,1.12382
1,0.031805,0.779173,0.778524,0.606099,1.539913,2.627855,0.625219,0.693294,1.123871
1,0.031889,0.779839,0.779187,0.607132,1.540719,2.631376,0.625716,0.693847,1.123935
1,0.031833,0.78004,0.77939,0.607448,1.539609,2.62624,0.625958,0.694091,1.12383
1,0.031835,0.779726,0.779076,0.606959,1.539078,2.624628,0.625724,0.69385,1.123767
1,0.031777,0.779866,0.779218,0.607181,1.539027,2.623931,0.625635,0.693891,1.123902
1,0.031844,0.780005,0.779355,0.607394,1.539712,2.625793,0.625307,0.693806,1.124241
1,0.031939,0.779494,0.778839,0.606591,1.540104,2.627168,0.624924,0.693339,1.124261
1,0.031648,0.779252,0.778609,0.606232,1.540302,2.627793,0.624711,0.693107,1.124288
1,0.031834,0.779051,0.778401,0.605908,1.540081,2.626871,0.62452,0.692918,1.124305
1,0.031872,0.77897,0.778318,0.605778,1.540297,2.627131,0.62426,0.692753,1.124455
1,0.031927,0.780217,0.779563,0.607718,1.541377,2.631804,0.625183,0.693789,1.124574
1,0.031977,0.779958,0.779302,0.607312,1.541508,2.633436,0.625264,0.693673,1.124388
1,0.032005,0.779975,0.779318,0.607337,1.540753,2.629696,0.625245,0.693701,1.124368
1,0.032022,0.780114,0.779457,0.607553,1.54077,2.630208,0.625602,0.693923,1.124209
1,0.031859,0.779712,0.77906,0.606935,1.540282,2.627932,0.625366,0.693611,1.124135
1,0.031938,0.779923,0.779269,0.60726,1.540811,2.62998,0.625415,0.693731,1.124245
1,0.032871,0.77542,0.774723,0.600196,1.539664,2.625824,0.622085,0.689879,1.123995
1,0.032965,0.776872,0.776172,0.602444,1.541035,2.631549,0.623054,0.691044,1.124201
1,0.032855,0.777239,0.776544,0.603021,1.541193,2.632729,0.623501,0.691428,1.124108
1,0.032784,0.77757,0.776879,0.603541,1.541081,2.632652,0.623879,0.691775,1.124021
1,0.032816,0.777239,0.776546,0.603024,1.541177,2.634291,0.623952,0.691635,1.12377
1,0.032894,0.777571,0.776875,0.603534,1.542038,2.638172,0.624241,0.691908,1.123806
1,0.032836,0.777523,0.776829,0.603463,1.542349,2.639202,0.624018,0.691785,1.123936
1,0.032747,0.7773,0.77661,0.603123,1.54253,2.639621,0.623676,0.691513,1.124057
1,0.032847,0.777731,0.777038,0.603787,1.542504,2.638709,0.623814,0.691798,1.124217
1,0.032826,0.777609,0.776916,0.603599,1.542281,2.638371,0.623745,0.691731,1.124151
1,0.032941,0.778059,0.777361,0.60429,1.541158,2.634086,0.624389,0.692283,1.123902
1,0.032993,0.778341,0.777642,0.604726,1.541329,2.635015,0.624639,0.692537,1.123898
1,0.032975,0.778267,0.777568,0.604612,1.540556,2.633124,0.625104,0.692711,1.123509
1,0.032832,0.778458,0.777765,0.604919,1.540315,2.631379,0.625005,0.692784,1.123666
1,0.03284,0.778984,0.778292,0.605738,1.540507,2.632566,0.625363,0.693235,1.123695
1,0.032922,0.778724,0.778028,0.605328,1.540179,2.631021,0.625159,0.693008,1.123688
1,0.032681,0.779223,0.778538,0.606121,1.541163,2.633629,0.624902,0.693146,1.124183
1,0.032724,0.778158,0.777469,0.604458,1.540504,2.628984,0.623604,0.692019,1.124475
1,0.032762,0.777826,0.777136,0.60394,1.539667,2.625321,0.62338,0.691779,1.124385
1,0.032872,0.778169,0.777474,0.604466,1.540288,2.629296,0.624155,0.692265,1.124092
1,0.032744,0.778766,0.778078,0.605405,1.541191,2.632948,0.624441,0.692686,1.12427
1,0.032751,0.778749,0.77806,0.605377,1.540807,2.631385,0.624354,0.69266,1.124288
1,0.032683,0.779062,0.778376,0.605869,1.540958,2.631043,0.624337,0.692818,1.124483
1,0.032715,0.778499,0.777811,0.60499,1.541261,2.632434,0.623924,0.692312,1.124491
1,0.032769,0.778497,0.777807,0.604984,1.54073,2.630333,0.623999,0.69237,1.124394
1,0.032797,0.778382,0.77769,0.604802,1.540087,2.627705,0.624044,0.692344,1.124271
1,0.032668,0.778953,0.778267,0.6057,1.540384,2.629516,0.624627,0.692898,1.124195
1,0.03275,0.778556,0.777867,0.605077,1.540415,2.630251,0.62452,0.692634,1.124052
1,0.03275,0.778786,0.778097,0.605436,1.541472,2.634287,0.624415,0.692685,1.124302
1,0.032579,0.778123,0.777441,0.604414,1.541763,2.634486,0.623662,0.691976,1.124493
1,0.032681,0.777837,0.77715,0.603962,1.541699,2.633875,0.623264,0.691655,1.124602
1,0.032593,0.777405,0.776721,0.603296,1.540883,2.630956,0.623197,0.691419,1.124361
1,0.032575,0.778293,0.777611,0.60468,1.540527,2.628892,0.62376,0.692153,1.124453
1,0.032576,0.778477,0.777795,0.604965,1.539973,2.62524,0.623607,0.6922,1.124641
1,0.032752,0.779117,0.778428,0.605951,1.540199,2.625901,0.624084,0.692742,1.124686
1,0.032693,0.77942,0.778734,0.606427,1.540611,2.627307,0.624157,0.692928,1.124822
1,0.032585,0.778712,0.77803,0.605331,1.541379,2.630519,0.623622,0.692278,1.124854
1,0.032577,0.77924,0.778559,0.606154,1.541505,2.630223,0.623797,0.692646,1.125019
1,0.032549,0.779151,0.778471,0.606016,1.541281,2.629299,0.623768,0.692588,1.124985
1,0.032557,0.778973,0.778292,0.605738,1.54107,2.630101,0.624084,0.692641,1.124642
1,0.032628,0.778859,0.778175,0.605557,1.541074,2.629996,0.623994,0.692535,1.12465
1,0.032582,0.779946,0.779265,0.607254,1.54204,2.634325,0.624946,0.693502,1.124648
1,0.032427,0.780199,0.779525,0.607659,1.542574,2.636762,0.625193,0.693733,1.124639
1,0.032427,0.780199,0.779525,0.609,1.544,2.636762,0.625193,0.693733,1.124639
1,0.032427,0.780199,0.779525,0.608,1.545,2.636762,0.625193,0.693733,1.124639
